('Basic EPS', '-', '0.74', '-0.98', '-1.14', '-2.37')
         367450 function calls (353030 primitive calls) in 1.187 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    49017    0.011    0.000    0.011    0.000 {method 'append' of 'list' objects}
47788/43891    0.012    0.000    0.014    0.000 {built-in method builtins.len}
    32374    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    18155    0.010    0.000    0.015    0.000 sre_parse.py:164(__getitem__)
    14969    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
    10639    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     9368    0.005    0.000    0.009    0.000 sre_parse.py:254(get)
     8817    0.003    0.000    0.003    0.000 {built-in method builtins.min}
     7631    0.004    0.000    0.006    0.000 sre_parse.py:160(__len__)
     7355    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     5612    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5496    0.002    0.000    0.002    0.000 _lxml.py:130(_getNsTag)
     4773    0.003    0.000    0.004    0.000 sre_parse.py:172(append)
     4164    0.003    0.000    0.009    0.000 __init__.py:555(endData)
     3933    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3808    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
     3690    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
 3306/148    0.016    0.000    0.039    0.000 sre_compile.py:71(_compile)
 3261/275    0.006    0.000    0.009    0.000 sre_parse.py:174(getwidth)
     3021    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     2941    0.002    0.000    0.002    0.000 sre_parse.py:286(tell)
 2856/158    0.020    0.000    0.074    0.000 sre_parse.py:475(_parse)
     2808    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2547    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2533    0.002    0.000    0.002    0.000 element.py:158(setup)
     2473    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2414    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2284    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2251    0.001    0.000    0.003    0.000 css_parser.py:319(match)
     2151    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2027    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
     1859    0.000    0.000    0.000    0.000 element.py:1499(__bool__)
     1578    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1470    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     1458    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1344    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     1338    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1310    0.000    0.000    0.000    0.000 ssl.py:890(_checkClosed)
     1265    0.004    0.000    0.012    0.000 element.py:1152(__init__)
     1265    0.002    0.000    0.003    0.000 __init__.py:541(pushTag)
     1265    0.001    0.000    0.001    0.000 __init__.py:739(handle_data)
     1265    0.000    0.000    0.000    0.000 __init__.py:195(can_be_empty_element)
     1265    0.000    0.000    0.001    0.000 __init__.py:435(set_up_substitutions)
     1264    0.006    0.000    0.028    0.000 _lxml.py:223(start)
     1264    0.000    0.000    0.000    0.000 _lxml.py:269(_prefix_for_namespace)
     1264    0.002    0.000    0.015    0.000 _lxml.py:278(end)
     1264    0.002    0.000    0.002    0.000 __init__.py:527(popTag)
     1264    0.002    0.000    0.005    0.000 __init__.py:657(_popToTag)
     1264    0.003    0.000    0.019    0.000 __init__.py:691(handle_starttag)
     1264    0.001    0.000    0.006    0.000 __init__.py:729(handle_endtag)
     1223    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1219    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1213    0.003    0.000    0.006    0.000 __init__.py:285(_replace_cdata_list_attribute_values)
1193/1128    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
     1152    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1152    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     1147    0.000    0.000    0.000    0.000 element.py:1882(descendants)
     1144    0.002    0.000    0.006    0.000 element.py:2123(search)
     1080    0.001    0.000    0.002    0.000 _lxml.py:299(data)
      982    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
  940/149    0.005    0.000    0.075    0.001 sre_parse.py:417(_parse_sub)
      905    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x8228a0}
      901    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      892    0.001    0.000    0.002    0.000 sre_parse.py:168(__setitem__)
      864    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      826    0.001    0.000    0.001    0.000 typing.py:587(_is_dunder)
      826    0.001    0.000    0.002    0.000 typing.py:701(__setattr__)
      818    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
      790    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      765    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      744    0.001    0.000    0.004    0.000 element.py:2060(search_tag)
      669    0.001    0.000    0.001    0.000 sre_parse.py:343(_escape)
      668    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      655    0.000    0.000    0.000    0.000 socket.py:614(readable)
      654    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      654    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      654    0.001    0.000    0.734    0.001 ssl.py:902(read)
      654    0.001    0.000    0.735    0.001 ssl.py:1041(recv_into)
      654    0.001    0.000    0.738    0.001 socket.py:575(readinto)
      654    0.733    0.001    0.733    0.001 {method 'read' of '_ssl._SSLSocket' objects}
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      634    0.001    0.000    0.002    0.000 element.py:932(__new__)
      634    0.001    0.000    0.002    0.000 __init__.py:589(object_was_parsed)
      633    0.000    0.000    0.001    0.000 __init__.py:492(string_container)
      627    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      627    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      621    0.001    0.000    0.001    0.000 sre_parse.py:408(_uniq)
      582    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
  566/537    0.000    0.000    0.001    0.000 typing.py:661(__hash__)
      547    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      544    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      544    0.005    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
  540/526    0.000    0.000    0.004    0.000 typing.py:245(inner)
      509    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      486    0.000    0.000    0.004    0.000 enum.py:284(__call__)
      476    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      472    0.003    0.000    0.004    0.000 css_types.py:40(__init__)
      462    0.000    0.000    0.000    0.000 css_types.py:72(__hash__)
      414    0.012    0.000    0.012    0.000 {built-in method posix.stat}
